選者殿のジュードは、困っているようだ。			選者殿のジュードは、困っているようだ。			蒼の星を探して							
ありがとうございます！何としても「蒼の星」を見つけてみせますよ！			ありがとうございます！何としても「蒼の星」を見つけてみせますよ！			ジュードの成長							
ご協力感謝します！これだけの腕を持つ職人さんと出会えるなんて、これも「蒼の星」のめぐり合わせかもしれませんね……！			ご協力感謝します！これだけの腕を持つ職人さんと出会えるなんて、これも「蒼の星」のめぐり合わせかもしれませんね……！			ジュードの成長							
よし、これで必要な数の「エーテル伝導部材」が揃いました。			よし、これで必要な数の「エーテル伝導部材」が揃いました。			ジュードの成長							
いよいよ、星見鏡の完成に必要な部品は、あと1種類です。			いよいよ、星見鏡の完成に必要な部品は、あと1種類です。			ジュードの成長							
あなたとの星見鏡製作を通して、僕は夢を叶えるための「諦めない心」を知ることができました。だから、たとえ「蒼の星」が見つからなかったとしても……			あなたとの星見鏡製作を通して、僕は夢を叶えるための「諦めない心」を知ることができました。だから、たとえ「蒼の星」が見つからなかったとしても……			ジュードの成長							
なんてことは、言いません！星見鏡を完成させて、なんとしても「蒼の星」を見つけてみせます！なんせ、ここまで10年待ち続けたんですから！			なんてことは、言いません！星見鏡を完成させて、なんとしても「蒼の星」を見つけてみせます！なんせ、ここまで10年待ち続けたんですから！			ジュードの成長							
何と言う？			何と言う？			ジュードの成長							
その意気だ			その意気だ			ジュードの成長							
うじうじしてない！！！！			うじうじしてない！！！！			ジュードの成長							
はい！いまは僕にやれることをやってみせますよ！			はい！いまは僕にやれることをやってみせますよ！			ジュードの成長							
うじうじするのは、いつだってできますから。いまは僕にやれることをやってみせますよ！			うじうじするのは、いつだってできますから。いまは僕にやれることをやってみせますよ！			ジュードの成長							
それでは、Surnameさん。最後の部品製作に入る準備ができたら、声をかけてください。あと一歩、ともに頑張りましょう！			それでは、Surnameさん。最後の部品製作に入る準備ができたら、声をかけてください。あと一歩、ともに頑張りましょう！			ジュードの成長							
Surnameさんに認められて、僕の心が「ボム並み」の熱血ハートから、「イフリート並み」の激情ハートに成長した気がするぞ……！			Surnameさんに認められて、僕の心が「ボム並み」の熱血ハートから、「イフリート並み」の激情ハートに成長した気がするぞ……！			ジュードの成長							
天文学部の貢献ランクが上昇しました！ジュードはあなたの事を、「お母さんのように心を許せる人」と感じているようです！			天文学部の貢献ランクが上昇しました！ジュードはあなたの事を、「お母さんのように心を許せる人」と感じているようです！			ジュードの成長							
また、魔法大学取引のストーリークエストが発行されました！「木工師／革細工師／裁縫師」のいずれかが、レベル90以上になると工匠殿の「ジュード」から受注可能です。			また、魔法大学取引のストーリークエストが発行されました！「木工師／革細工師／裁縫師」のいずれかが、レベル90以上になると工匠殿の「ジュード」から受注可能です。			ジュードの成長							
工匠殿のジュードは、星見鏡の完成を前に話したいことがあるようだ。			工匠殿のジュードは、星見鏡の完成を前に話したいことがあるようだ。			約束の星							
ジュードと話した。「星見鏡の操作杖素材」をもとに「星見鏡の操作杖」を製作し、オールド・シャーレアンの工匠殿の「ジュード」に納品しよう。※「星見鏡の操作杖素材」を失った場合は、工匠殿の魔法大学からの支給品を調べましょう。材料を入手し、再挑戦が可能になります。			ジュードと話した。「星見鏡の操作杖素材」をもとに「星見鏡の操作杖」を製作し、オールド・シャーレアンの工匠殿の「ジュード」に納品しよう。※「星見鏡の操作杖素材」を失った場合は、工匠殿の魔法大学からの支給品を調べましょう。材料を入手し、再挑戦が可能になります。			約束の星							
ジュードに星見鏡の操作杖を渡した。ジュードは、「蒼の星」の観測を始める前に、もう一度ジェロメールと話したいという。オールド・シャーレアンのパフィン広場の「ジェロメール」と話そう。			ジュードに星見鏡の操作杖を渡した。ジュードは、「蒼の星」の観測を始める前に、もう一度ジェロメールと話したいという。オールド・シャーレアンのパフィン広場の「ジェロメール」と話そう。			約束の星							
ジェロメールと話した。夢を諦めたジェロメールのことを嘲笑する詩吟同好会のメンバーに、ジュードは人生で初めて怒鳴り声をあげた。かつて、友達ができずに泣いていたジュードを、ジェロメールが天体観測に誘ったことで、ふたりは親友になった。今度はジュードが、星を観に行こうとジェロメールを誘うのだった。オールド・シャーレアンの知神の港の「指定地点」で待機しよう。			ジェロメールと話した。夢を諦めたジェロメールのことを嘲笑する詩吟同好会のメンバーに、ジュードは人生で初めて怒鳴り声をあげた。かつて、友達ができずに泣いていたジュードを、ジェロメールが天体観測に誘ったことで、ふたりは親友になった。今度はジュードが、星を観に行こうとジェロメールを誘うのだった。オールド・シャーレアンの知神の港の「指定地点」で待機しよう。			約束の星							
指定地点で、天体観測の準備が整うのを待った。ジュードと冒険者で作り上げた星見鏡は、見事に「蒼の星」の輝きを捉えることに成功した。かつて同じ志を持ちながら、道半ばで諦めてしまったジェロメールは、最後までやり遂げたジュードを心から称えた。工匠殿の「ジュード」と話そう。			指定地点で、天体観測の準備が整うのを待った。ジュードと冒険者で作り上げた星見鏡は、見事に「蒼の星」の輝きを捉えることに成功した。かつて同じ志を持ちながら、道半ばで諦めてしまったジェロメールは、最後までやり遂げたジュードを心から称えた。工匠殿の「ジュード」と話そう。			約束の星							
ジュードと話した。現代の光学式望遠鏡で見つからなかった「蒼の星」を、「星見鏡」で観測できた理由について、ジェロメールは次のように推測した。ジュードたちが住むこの星と「蒼の星」とは、通常の望遠鏡では観測できないほど遠く離れている。しかし、光の代わりにエーテルを観測する星見鏡では、「蒼の星」に満たされた生命力を捉えることができたのだろう、と。天文学部に復帰したジェロメールは、ジュードとともに、これからも未発見の天体を探していくようだ。彼らのことを思い出した時は、夜空を見上げてみよう。			ジュードと話した。現代の光学式望遠鏡で見つからなかった「蒼の星」を、「星見鏡」で観測できた理由について、ジェロメールは次のように推測した。ジュードたちが住むこの星と「蒼の星」とは、通常の望遠鏡では観測できないほど遠く離れている。しかし、光の代わりにエーテルを観測する星見鏡では、「蒼の星」に満たされた生命力を捉えることができたのだろう、と。天文学部に復帰したジェロメールは、ジュードとともに、これからも未発見の天体を探していくようだ。彼らのことを思い出した時は、夜空を見上げてみよう。			約束の星							
製作手帳 魔法大学取引：星見鏡の操作杖を製作ジュードに星見鏡の操作杖を納品			製作手帳 魔法大学取引：星見鏡の操作杖を製作ジュードに星見鏡の操作杖を納品			約束の星							
ジェロメールと話す			ジェロメールと話す			約束の星							
指定地点で待機			指定地点で待機			約束の星							
ジュードと話す			ジュードと話す			約束の星							
Surnameさんのおかげで、星見鏡の完成は間近です。			Surnameさんのおかげで、星見鏡の完成は間近です。			約束の星							
あなたの励ましがなければ、僕はとっくに諦めていたでしょう。それは、「蒼の星」を見つけることだけじゃない。ジェロメールと向き合うこともできなかったと思います。			あなたの励ましがなければ、僕はとっくに諦めていたでしょう。それは、「蒼の星」を見つけることだけじゃない。ジェロメールと向き合うこともできなかったと思います。			約束の星							
ここまでご協力いただき、本当にありがとうございます。			ここまでご協力いただき、本当にありがとうございます。			約束の星							
それでは、これが最後の依頼です……星見鏡に操作者の魔力を流しこむための、「星見鏡の操作杖」の製作をお願いします！			それでは、これが最後の依頼です……星見鏡に操作者の魔力を流しこむための、「星見鏡の操作杖」の製作をお願いします！			約束の星							
必要な材料はお渡ししておきますが、足りないようであれば、そこの「魔法大学からの支給品」を使ってください！			必要な材料はお渡ししておきますが、足りないようであれば、そこの「魔法大学からの支給品」を使ってください！			約束の星							
最後の部品が完成したんですか！？			最後の部品が完成したんですか！？			約束の星							
確かに、受け取りましたよ……これで星見鏡の組み立てに必要な部品は揃いました。あとは、これを使って「蒼の星」を観測するだけ……。			確かに、受け取りましたよ……これで星見鏡の組み立てに必要な部品は揃いました。あとは、これを使って「蒼の星」を観測するだけ……。			約束の星							
その際は、Surnameさんにも、立ち会いをお願いしたいのですが……あとひとり、見届けてもらいたい相手がいるんです。			その際は、Surnameさんにも、立ち会いをお願いしたいのですが……あとひとり、見届けてもらいたい相手がいるんです。			約束の星							
「蒼の星」が存在する保証なんてどこにもない。もう一度がっかりさせてしまうだけかもしれない。			「蒼の星」が存在する保証なんてどこにもない。もう一度がっかりさせてしまうだけかもしれない。			約束の星							
それでも、僕はジェロメールとともに天体観測がしたい。同じ夢を見た、10年前のあの夜のように……！だから、もう一度彼と話をしてみます！			それでも、僕はジェロメールとともに天体観測がしたい。同じ夢を見た、10年前のあの夜のように……！だから、もう一度彼と話をしてみます！			約束の星							
今頃、ジェロメールが所属する詩吟同好会は、「パフィン広場」で詩を詠んでいるはずです。			今頃、ジェロメールが所属する詩吟同好会は、「パフィン広場」で詩を詠んでいるはずです。			約束の星							
製作していただいた部品を整理した後、すぐに向かいますので、あなたは、パフィン広場で「ジェロメール」と待っていてください！			製作していただいた部品を整理した後、すぐに向かいますので、あなたは、パフィン広場で「ジェロメール」と待っていてください！			約束の星							
木箱の中に、材料が入っているようだ。必要な分を持っていこう。			木箱の中に、材料が入っているようだ。必要な分を持っていこう。			約束の星							
材料はもう必要ない。ジュードに「星見鏡の操作杖」を渡そう。			材料はもう必要ない。ジュードに「星見鏡の操作杖」を渡そう。			約束の星							
おや、アンタは……悪いが、もう話すことはないぜ。			おや、アンタは……悪いが、もう話すことはないぜ。			約束の星							
(-？？？？-)君になくても、僕にはあるんだ。			(-？？？？-)君になくても、僕にはあるんだ。			約束の星							
ジュード……お前……。			ジュード……お前……。			約束の星							
ふたりで作っていた星見鏡が、やっと完成したんだ。「蒼の星」の観測の際には、君にも立ち会ってほしい。			ふたりで作っていた星見鏡が、やっと完成したんだ。「蒼の星」の観測の際には、君にも立ち会ってほしい。			約束の星							
悪いな、ジュード。オレは一緒に行ってやれない。			悪いな、ジュード。オレは一緒に行ってやれない。			約束の星							
おいおい、行ってやりゃいいじゃねえかよ！昔の友達が頼んでんだろ！？			おいおい、行ってやりゃいいじゃねえかよ！昔の友達が頼んでんだろ！？			約束の星							
付き合ってやれよ。「蒼の星」だかなんだかが見つからなきゃ、そいつも納得するだろ？			付き合ってやれよ。「蒼の星」だかなんだかが見つからなきゃ、そいつも納得するだろ？			約束の星							
そんなことしなくたって、「蒼の星」が存在しないことは、このオレがよくわかっている。10年間も探し続けて、見つからなかったんだからな……。			そんなことしなくたって、「蒼の星」が存在しないことは、このオレがよくわかっている。10年間も探し続けて、見つからなかったんだからな……。			約束の星							
マジかよ……10年も探してたのか？そりゃあ、お前……			マジかよ……10年も探してたのか？そりゃあ、お前……			約束の星							
すげえ時間の無駄だったな！			すげえ時間の無駄だったな！			約束の星							
マジでウケるぜ！貴重な青春の時間を、しょうもないことに使っちまってよ！			マジでウケるぜ！貴重な青春の時間を、しょうもないことに使っちまってよ！			約束の星							
本当に未発見の天体があるんなら、魔法大学のおエライさんがとっくに見つけてるわな！そんなこともわからないなんて、お前って結構バカだったんだな！			本当に未発見の天体があるんなら、魔法大学のおエライさんがとっくに見つけてるわな！そんなこともわからないなんて、お前って結構バカだったんだな！			約束の星							
お前……			お前……			約束の星							
人の夢をバカにするな！！			人の夢をバカにするな！！			約束の星							
ハァ……！？やんのか、コラ！			ハァ……！？やんのか、コラ！			約束の星							
ジェロメールの夢を、僕たちの夢を笑う資格は……誰にもない！いくら殴られたって、蹴られたって、これだけは譲るつもりはない！			ジェロメールの夢を、僕たちの夢を笑う資格は……誰にもない！いくら殴られたって、蹴られたって、これだけは譲るつもりはない！			約束の星							
上等だコラ！			上等だコラ！			約束の星							
やめとけよ。ジュード君お抱えの職人は、外から来た冒険者でもあるらしい。お前の腕っぷしでも、敵う相手じゃないよ。			やめとけよ。ジュード君お抱えの職人は、外から来た冒険者でもあるらしい。お前の腕っぷしでも、敵う相手じゃないよ。			約束の星							
……チッ！覚えてやがれ！			……チッ！覚えてやがれ！			約束の星							
……初めて見たよ、お前が怒鳴ってるとこ。			……初めて見たよ、お前が怒鳴ってるとこ。			約束の星							
自分でも驚いたよ……まだ心臓がバクバクしてるんだ……。			自分でも驚いたよ……まだ心臓がバクバクしてるんだ……。			約束の星							
でも、許せなかったんだ。「蒼の星」を探して努力し続けてきた君の日々を、バカにしたアイツが……。			でも、許せなかったんだ。「蒼の星」を探して努力し続けてきた君の日々を、バカにしたアイツが……。			約束の星							
オレはこの10年間、お前との約束のことだけを考えて生きてきた。でもそれが果たせないと知った時、自分には何も残っていないんじゃないかと思った……。			オレはこの10年間、お前との約束のことだけを考えて生きてきた。でもそれが果たせないと知った時、自分には何も残っていないんじゃないかと思った……。			約束の星							
だから、さっきみたいに好き放題言われても、何もできなかった。あんな連中でも、オレにはここしか居場所がないんだ……。			だから、さっきみたいに好き放題言われても、何もできなかった。あんな連中でも、オレにはここしか居場所がないんだ……。			約束の星							
子どもの頃、友達の輪に馴染めずに泣いていた僕を、天体観測に誘ってくれたのは君だった。ひとりぼっちだった僕に、君が居場所を与えてくれたんだよ。			子どもの頃、友達の輪に馴染めずに泣いていた僕を、天体観測に誘ってくれたのは君だった。ひとりぼっちだった僕に、君が居場所を与えてくれたんだよ。			約束の星							
ジェロメール、星を観に行こう。空が見える所ならどこだって、僕たちの居場所だ。			ジェロメール、星を観に行こう。空が見える所ならどこだって、僕たちの居場所だ。			約束の星							
……これで最後だぞ、ジュード。			……これで最後だぞ、ジュード。			約束の星							
観測は、「知神の港」で行います。僕は組み立てた星見鏡を運んでくるから、現地で待ち合わせましょう。			観測は、「知神の港」で行います。僕は組み立てた星見鏡を運んでくるから、現地で待ち合わせましょう。			約束の星							
あのジュードが、ああまで変わるなんてな……。あいつに必要だったのは、手を引いてやることじゃなくて、背中を押してやることだったのか……。			あのジュードが、ああまで変わるなんてな……。あいつに必要だったのは、手を引いてやることじゃなくて、背中を押してやることだったのか……。			約束の星							
製作していただいた部品を整理した後、すぐに向かいますので、あなたは、パフィン広場で「ジェロメール」と待っていてください！			製作していただいた部品を整理した後、すぐに向かいますので、あなたは、パフィン広場で「ジェロメール」と待っていてください！			約束の星							
ん？　何見てんだよ？			ん？　何見てんだよ？			約束の星							
やあ、君に作ってもらった筆記具のおかげで、あの子に振り向いてもらえたんだ、ありがとう。ジェロメールに用事かい？			やあ、君に作ってもらった筆記具のおかげで、あの子に振り向いてもらえたんだ、ありがとう。ジェロメールに用事かい？			約束の星							
これで、準備は整った……。			これで、準備は整った……。			約束の星							
それでは、始めます！			それでは、始めます！			約束の星							
これが星見鏡か……。本当に、こんなモンで星の輝きを捉えることができるのか……？			これが星見鏡か……。本当に、こんなモンで星の輝きを捉えることができるのか……？			約束の星							
10年前のあの日……僕らは水天座を観測しようとしていた。まずは、星見鏡の焦点を水天座に合わせる！			10年前のあの日……僕らは水天座を観測しようとしていた。まずは、星見鏡の焦点を水天座に合わせる！			約束の星							
古代の望遠鏡で、こんなにハッキリと星の姿が見えるなんてな……。			古代の望遠鏡で、こんなにハッキリと星の姿が見えるなんてな……。			約束の星							
だが、この星々の中には、10年間、オレたちが探し続けてきた輝きはない……。			だが、この星々の中には、10年間、オレたちが探し続けてきた輝きはない……。			約束の星							
やっぱ、あの星はなかったんだな……。			やっぱ、あの星はなかったんだな……。			約束の星							
お前はよく頑張ったよ、ジュード。星見鏡……すごかったぜ。			お前はよく頑張ったよ、ジュード。星見鏡……すごかったぜ。			約束の星							
まだだ！			まだだ！			約束の星							
もっと星見鏡の感度を上げる！そのために増幅器を作ってもらったんだ！			もっと星見鏡の感度を上げる！そのために増幅器を作ってもらったんだ！			約束の星							
これでも足りないのか……！？			これでも足りないのか……！？			約束の星							
オレだって……本当は、信じていたいんだッ！			オレだって……本当は、信じていたいんだッ！			約束の星							
あるんだろ、そこにッ！			あるんだろ、そこにッ！			約束の星							
10年前のあの輝きを……もう一度、僕たちに見せてくれッ！！			10年前のあの輝きを……もう一度、僕たちに見せてくれッ！！			約束の星							
やっぱり、あの星はあったんだ……あったんだよ、ジェロメール……！！			やっぱり、あの星はあったんだ……あったんだよ、ジェロメール……！！			約束の星							
ああ、あったな……。			ああ、あったな……。			約束の星							
どうしてオレは、諦めちまったんだろうな……ホント、お前はすげえよ、ジュード……。			どうしてオレは、諦めちまったんだろうな……ホント、お前はすげえよ、ジュード……。			約束の星							
ジュードの成長ぶりには驚かされるが、それでも「蒼の星」が存在しないという事実は変わらない……。			ジュードの成長ぶりには驚かされるが、それでも「蒼の星」が存在しないという事実は変わらない……。			約束の星							
10年越しの夢だった「蒼の星」を見つけることができたのは、Surnameさんのおかげです！本当に、何と感謝をしたら良いか……。			10年越しの夢だった「蒼の星」を見つけることができたのは、Surnameさんのおかげです！本当に、何と感謝をしたら良いか……。			約束の星							
……あれ、ジェロメールは？魔法大学まで一緒に戻ってきたはずなのに……。			……あれ、ジェロメールは？魔法大学まで一緒に戻ってきたはずなのに……。			約束の星							
やっぱ、この方が落ち着くな。			やっぱ、この方が落ち着くな。			約束の星							
その格好こそ、僕の知ってるジェロメールだ。Surnameさんも、よく似合ってると思いますよね？			その格好こそ、僕の知ってるジェロメールだ。Surnameさんも、よく似合ってると思いますよね？			約束の星							
何と言う？			何と言う？			約束の星							
似合ってる			似合ってる			約束の星							
良い生地使ってるな			良い生地使ってるな			約束の星							
へへ……ありがとよ。何かを忘れようとして自分を変えたところで、違う人間になれるわけじゃないってことが、よくわかったぜ。			へへ……ありがとよ。何かを忘れようとして自分を変えたところで、違う人間になれるわけじゃないってことが、よくわかったぜ。			約束の星							
オレの勘違いだったらいいんだが……似合ってなさすぎるから、とりあえず生地でも褒めとくか、とか思わなかったか？			オレの勘違いだったらいいんだが……似合ってなさすぎるから、とりあえず生地でも褒めとくか、とか思わなかったか？			約束の星							
ともかく、だ。何かを忘れようとして自分を変えたところで、違う人間になれるわけじゃないってことが、よくわかったぜ。			ともかく、だ。何かを忘れようとして自分を変えたところで、違う人間になれるわけじゃないってことが、よくわかったぜ。			約束の星							
それにしても、「蒼の星」について気になることがある……			それにしても、「蒼の星」について気になることがある……			約束の星							
オレが、最新の望遠鏡を使っても見つけられなかったのに、なぜ古い技術である「星見鏡」で観測することができたんだ……？			オレが、最新の望遠鏡を使っても見つけられなかったのに、なぜ古い技術である「星見鏡」で観測することができたんだ……？			約束の星							
そうか……そういうことか……！			そうか……そういうことか……！			約束の星							
星見鏡で捉えたのは、「蒼の星」が放つ「光」じゃなく、「エーテル」だったんだな？			星見鏡で捉えたのは、「蒼の星」が放つ「光」じゃなく、「エーテル」だったんだな？			約束の星							
「蒼の星」は、その光を捉えることができないぐらい、この星から離れた位置にあるんだと思う。			「蒼の星」は、その光を捉えることができないぐらい、この星から離れた位置にあるんだと思う。			約束の星							
今回、Surnameさんと作った星見鏡は、光ではなくエーテルを観測することに特化した魔具だから、遠くの「蒼の星」が放つ生命力を捉えることができたんだ。			今回、Surnameさんと作った星見鏡は、光ではなくエーテルを観測することに特化した魔具だから、遠くの「蒼の星」が放つ生命力を捉えることができたんだ。			約束の星							
なるほどな……。どれだけ遠くの光を観測できるか光学的性能を重要視する、現代の天文学者が発見できないわけだぜ……。			なるほどな……。どれだけ遠くの光を観測できるか光学的性能を重要視する、現代の天文学者が発見できないわけだぜ……。			約束の星							
だけど、ひとつわからないことがあるんだ。10年前に観測した時、僕たちは星見鏡を使っていない。にもかかわらず、「蒼の星」を発見できたのは、どうして……。			だけど、ひとつわからないことがあるんだ。10年前に観測した時、僕たちは星見鏡を使っていない。にもかかわらず、「蒼の星」を発見できたのは、どうして……。			約束の星							
あの時使っていたのは、子供向けの望遠鏡だっただろう？アレは、高精度のガラス製レンズではなく、透明度が低い安物のクリスタル製レンズを使ってたはずだ。			あの時使っていたのは、子供向けの望遠鏡だっただろう？アレは、高精度のガラス製レンズではなく、透明度が低い安物のクリスタル製レンズを使ってたはずだ。			約束の星							
だから、光を捉える性能は低くても、エーテルの結晶であるクリスタル製レンズを通したとき、エーテルの輝きだけは、しっかりと捉えることができたのかもな。			だから、光を捉える性能は低くても、エーテルの結晶であるクリスタル製レンズを通したとき、エーテルの輝きだけは、しっかりと捉えることができたのかもな。			約束の星							
でも、当時の天文学部の人たちも、僕たちと同じ条件で観測を行ったはず。にも関わらず、大人たちは「蒼の星」を見つけられなかった……。			でも、当時の天文学部の人たちも、僕たちと同じ条件で観測を行ったはず。にも関わらず、大人たちは「蒼の星」を見つけられなかった……。			約束の星							
……もしかすると、生命活動に波があるように、「蒼の星」が発するエーテルの強さにも波があるんじゃないか？			……もしかすると、生命活動に波があるように、「蒼の星」が発するエーテルの強さにも波があるんじゃないか？			約束の星							
10年前、オレたちが天体観測をしたあの夜は、偶然、「蒼の星」が放つエーテルがもっとも強まる日だったんだ。			10年前、オレたちが天体観測をしたあの夜は、偶然、「蒼の星」が放つエーテルがもっとも強まる日だったんだ。			約束の星							
故に、安物のクリスタル製のレンズでも、そのエーテルを捉えることができた……。複雑な条件が絡み合って生まれた、一夜限りの「奇跡」というわけだ。			故に、安物のクリスタル製のレンズでも、そのエーテルを捉えることができた……。複雑な条件が絡み合って生まれた、一夜限りの「奇跡」というわけだ。			約束の星							
なるほど……さすがだね！やっぱり、ジェロメールはすごいや。			なるほど……さすがだね！やっぱり、ジェロメールはすごいや。			約束の星							
ジュードの諦めの悪さには敵わないよ。お前の星見鏡なら、「奇跡」に頼ることなく、天体が放つエーテルの光を捉えることができるはずさ。			ジュードの諦めの悪さには敵わないよ。お前の星見鏡なら、「奇跡」に頼ることなく、天体が放つエーテルの光を捉えることができるはずさ。			約束の星							
ということは……この宇宙には、「蒼の星」のように姿を隠している天体が、まだまだあるかもしれないってことだよね。			ということは……この宇宙には、「蒼の星」のように姿を隠している天体が、まだまだあるかもしれないってことだよね。			約束の星							
その可能性は高いだろうな。エーテル観測方式は、現代の天文学の常識をぶっ壊す発想だ。多くの天文学者が、まだ見ぬ天体の発見に躍起になるだろう。			その可能性は高いだろうな。エーテル観測方式は、現代の天文学の常識をぶっ壊す発想だ。多くの天文学者が、まだ見ぬ天体の発見に躍起になるだろう。			約束の星							
なら、僕たちも探そうよ。10年前に約束したようにさ。			なら、僕たちも探そうよ。10年前に約束したようにさ。			約束の星							
しかし、ジュード……オレは天文学部を辞めた身……			しかし、ジュード……オレは天文学部を辞めた身……			約束の星							
知ってるだろ？僕は諦めが悪いんだ。なんせ、10年も待ったんだからね。			知ってるだろ？僕は諦めが悪いんだ。なんせ、10年も待ったんだからね。			約束の星							
ああ、そうだな。			ああ、そうだな。			約束の星							
まさか、あなたと星見鏡の製作を始める時は、今日がこんなに素晴らしい日になるとは思っていませんでした。本当に、ありがとうございました。			まさか、あなたと星見鏡の製作を始める時は、今日がこんなに素晴らしい日になるとは思っていませんでした。本当に、ありがとうございました。			約束の星							
短い付き合いでしたが、僕にとっては何よりの財産になりました。これでお別れだと思うと、とても名残惜しいですが……			短い付き合いでしたが、僕にとっては何よりの財産になりました。これでお別れだと思うと、とても名残惜しいですが……			約束の星							
今日のことを思い出した時は、夜空を見上げてみてください。いつだって、僕たちは同じ星を観ているのだから。			今日のことを思い出した時は、夜空を見上げてみてください。いつだって、僕たちは同じ星を観ているのだから。			約束の星							
またお会いしましょう！Surnameさん、いや……僕の大切な友人、Forenameさん！			またお会いしましょう！Surnameさん、いや……僕の大切な友人、Forenameさん！			約束の星							
Forenameさんとの出会いによって、今や僕の心は「イフリート並み」の激情ハート、いや、「フェニックス並み」の不滅ハートに成長したんだ！			Forenameさんとの出会いによって、今や僕の心は「イフリート並み」の激情ハート、いや、「フェニックス並み」の不滅ハートに成長したんだ！			約束の星							
天文学部の貢献ランクが上昇しました！ジュードはあなたの事を、「心を許せる大切な友人」と感じているようです！			天文学部の貢献ランクが上昇しました！ジュードはあなたの事を、「心を許せる大切な友人」と感じているようです！			約束の星							
また、魔法大学は他にも、腕のいい職人の助けを必要としている人がいるようです。声をかけて、話を聞いてみましょう。			また、魔法大学は他にも、腕のいい職人の助けを必要としている人がいるようです。声をかけて、話を聞いてみましょう。			約束の星							
また、これにて、すべての学部の取引が完了しました！そんなあなたに、魔法大学職員の「キィ・アリアポー」は、依頼したいことがあるようです。			また、これにて、すべての学部の取引が完了しました！そんなあなたに、魔法大学職員の「キィ・アリアポー」は、依頼したいことがあるようです。			約束の星							
「選者殿」にいる彼女から、話を聞いてみましょう。			「選者殿」にいる彼女から、話を聞いてみましょう。			約束の星							
本クエストで製作した「NQアイテム」を所持しています。このアイテムは、使用することはありません。売却もできませんので、不用でしたら破棄してください。			本クエストで製作した「NQアイテム」を所持しています。このアイテムは、使用することはありません。売却もできませんので、不用でしたら破棄してください。			約束の星							
