選者殿のボリックは、悩んでいるようだ。			選者殿のボリックは、悩んでいるようだ。			ルルシャ教授と奇妙な遺物							
そうね……。目の前にある謎に、どう向き合っていくのかは、いつか必ず、自分自身で見いださなければならないわ。			そうね……。目の前にある謎に、どう向き合っていくのかは、いつか必ず、自分自身で見いださなければならないわ。			窮地のルルシャ							
だから彼が結論を出すまでの間は、いつ戻ってきても大丈夫なよう、私たちで作業を進めましょう。もっとも修復の方針は、決まっていないのだけれど……。			だから彼が結論を出すまでの間は、いつ戻ってきても大丈夫なよう、私たちで作業を進めましょう。もっとも修復の方針は、決まっていないのだけれど……。			窮地のルルシャ							
考古学部の貢献ランクが上昇しました！ルルシャはあなたの事を、「遺物修復の功労者」と感じているようです！			考古学部の貢献ランクが上昇しました！ルルシャはあなたの事を、「遺物修復の功労者」と感じているようです！			窮地のルルシャ							
また、魔法大学取引のストーリークエストが発行されました！「鍛冶師／甲冑師／彫金師」のいずれかがレベル90以上になると、工匠殿の「ルルシャ」から受注可能です。			また、魔法大学取引のストーリークエストが発行されました！「鍛冶師／甲冑師／彫金師」のいずれかがレベル90以上になると、工匠殿の「ルルシャ」から受注可能です。			窮地のルルシャ							
工匠殿のルルシャは、冒険者の知恵を借りたいようだ。			工匠殿のルルシャは、冒険者の知恵を借りたいようだ。			古き時代との対話							
ルルシャと話した。遺物の内部に収められた用途不明の部品は、どうやらトームストーンの一種だったようだ。接合部品の劣化によって記録データの読み込みに失敗し、起動や意思疎通に問題が生じている可能性がある。「黄金の接合部品素材」をもとに、「黄金の接合部品」を製作し、オールド・シャーレアンの工匠殿の「ルルシャ」に納品しよう。※「黄金の接合部品素材」を失った場合は、ルルシャの木箱を調べましょう。材料を入手し、再挑戦が可能になります。			ルルシャと話した。遺物の内部に収められた用途不明の部品は、どうやらトームストーンの一種だったようだ。接合部品の劣化によって記録データの読み込みに失敗し、起動や意思疎通に問題が生じている可能性がある。「黄金の接合部品素材」をもとに、「黄金の接合部品」を製作し、オールド・シャーレアンの工匠殿の「ルルシャ」に納品しよう。※「黄金の接合部品素材」を失った場合は、ルルシャの木箱を調べましょう。材料を入手し、再挑戦が可能になります。			古き時代との対話							
ルルシャに「黄金の接合部品」を渡した。そこへボリックが戻ってくるが、査問会が開催されることになってしまったようだ。ルルシャは、遺物の組み立てを済ませてから向かうという。オールド・シャーレアンの公開講堂前の「ナモノ・タヤモノ」と話そう。			ルルシャに「黄金の接合部品」を渡した。そこへボリックが戻ってくるが、査問会が開催されることになってしまったようだ。ルルシャは、遺物の組み立てを済ませてから向かうという。オールド・シャーレアンの公開講堂前の「ナモノ・タヤモノ」と話そう。			古き時代との対話							
ナモノ・タヤモノと話した。黄金のチャタ号には翻訳機としての機能があり、ナモノ・タヤモノが研究していた言語の解読に成功する。結果、遺物修復の意義が証明されたことによって、ルルシャは不問となった。工匠殿の「ルルシャ」と話そう。			ナモノ・タヤモノと話した。黄金のチャタ号には翻訳機としての機能があり、ナモノ・タヤモノが研究していた言語の解読に成功する。結果、遺物修復の意義が証明されたことによって、ルルシャは不問となった。工匠殿の「ルルシャ」と話そう。			古き時代との対話							
ルルシャと話した。すれ違いと誤解に苛まれた三人だったが、教授たちは新たな発見に目を輝かせ、気弱な助手も少しは吹っ切れたようにも見える。彼らが手を取り合えば、地中深くに埋もれてしまった古き人々の想いを、拾い上げることができるはずだ。古の時代に想いを馳せたくなったときには、彼らの話を聞きに、再びここへ足を運ぶとしよう。			ルルシャと話した。すれ違いと誤解に苛まれた三人だったが、教授たちは新たな発見に目を輝かせ、気弱な助手も少しは吹っ切れたようにも見える。彼らが手を取り合えば、地中深くに埋もれてしまった古き人々の想いを、拾い上げることができるはずだ。古の時代に想いを馳せたくなったときには、彼らの話を聞きに、再びここへ足を運ぶとしよう。			古き時代との対話							
製作手帳 魔法大学取引：黄金の接合部品を製作ルルシャに黄金の接合部品を納品			製作手帳 魔法大学取引：黄金の接合部品を製作ルルシャに黄金の接合部品を納品			古き時代との対話							
ナモノ・タヤモノと話す			ナモノ・タヤモノと話す			古き時代との対話							
ルルシャと話す			ルルシャと話す			古き時代との対話							
いらっしゃい、Forenameさん。			いらっしゃい、Forenameさん。			古き時代との対話							
あれ以来、ボリックは顔を見せてくれないから、お婆ちゃん、ひとりでちょっと寂しくてねぇ。来てくれて嬉しいわ。			あれ以来、ボリックは顔を見せてくれないから、お婆ちゃん、ひとりでちょっと寂しくてねぇ。来てくれて嬉しいわ。			古き時代との対話							
それで修復作業の方針なのだけれど……実は、チャタ号の身体の中には、ひとつだけ用途のわからない箱状の部品があったのよ。			それで修復作業の方針なのだけれど……実は、チャタ号の身体の中には、ひとつだけ用途のわからない箱状の部品があったのよ。			古き時代との対話							
これまで不用意に触って状態を悪化させないように、そのままにしておいたのだけれど……思い切って分解してみたの。			これまで不用意に触って状態を悪化させないように、そのままにしておいたのだけれど……思い切って分解してみたの。			古き時代との対話							
そうしたら、黄金の接合部品に包まれた、黒い石のような、薄い板状の部品が出てきたのよ……。あなた、この黒い石に心当たりはない？			そうしたら、黄金の接合部品に包まれた、黒い石のような、薄い板状の部品が出てきたのよ……。あなた、この黒い石に心当たりはない？			古き時代との対話							
何と言う？			何と言う？			古き時代との対話							
もしかして、トームストーンでは……？			もしかして、トームストーンでは……？			古き時代との対話							
いつも集めているものに似てる……			いつも集めているものに似てる……			古き時代との対話							
……なるほど、アラガントームストーン！たしかに、あの特徴的な模様は見られないけれど、言われてみれば、質感は似ているかもしれないわねぇ……。			……なるほど、アラガントームストーン！たしかに、あの特徴的な模様は見られないけれど、言われてみれば、質感は似ているかもしれないわねぇ……。			古き時代との対話							
ただ、この子の製造された時期は、出土状況や部品の状態からして、第三星暦ではないわ。もっと近い……第五星暦の終わりから、第六星暦初頭ぐらい。			ただ、この子の製造された時期は、出土状況や部品の状態からして、第三星暦ではないわ。もっと近い……第五星暦の終わりから、第六星暦初頭ぐらい。			古き時代との対話							
発掘されたアラグ文明の遺物を流用したのか、あるいは模造品を作ることができたのかは、わからないけれど、記憶媒体だとしたら……。			発掘されたアラグ文明の遺物を流用したのか、あるいは模造品を作ることができたのかは、わからないけれど、記憶媒体だとしたら……。			古き時代との対話							
一般的なウルダハ製の魔法人形だと、記憶は、魔法人形の魂とも言える「心核」が司っているわ。			一般的なウルダハ製の魔法人形だと、記憶は、魔法人形の魂とも言える「心核」が司っているわ。			古き時代との対話							
でも、この子の心核は、動力源としての機能しかなかった。この黒い石に、チャタ号の記憶が宿っているとしたら、接合部品の劣化で、読み込みに問題が起きている可能性も……。			でも、この子の心核は、動力源としての機能しかなかった。この黒い石に、チャタ号の記憶が宿っているとしたら、接合部品の劣化で、読み込みに問題が起きている可能性も……。			古き時代との対話							
ねぇあなた、どんな情報を抱え込んでいるの？本当に興味深い子だわぁ。			ねぇあなた、どんな情報を抱え込んでいるの？本当に興味深い子だわぁ。			古き時代との対話							
Forenameさん、この接合部品と同じものを作れるかしら？少しの歪みもなく、黒い石を包み込む精度のものを……！			Forenameさん、この接合部品と同じものを作れるかしら？少しの歪みもなく、黒い石を包み込む精度のものを……！			古き時代との対話							
ふふ、そうこなくっちゃ！きっとナモノ教授は、何がなんでも私の査問会を開くつもりよ。だからそれまでに、やれることを全部やりきりましょう！			ふふ、そうこなくっちゃ！きっとナモノ教授は、何がなんでも私の査問会を開くつもりよ。だからそれまでに、やれることを全部やりきりましょう！			古き時代との対話							
きっとこれが、最後のお願いになるわ。「黄金の接合部品」を製作してちょうだい！材料が不足した場合は、そこの木箱から持っていってね。			きっとこれが、最後のお願いになるわ。「黄金の接合部品」を製作してちょうだい！材料が不足した場合は、そこの木箱から持っていってね。			古き時代との対話							
木箱の中に、材料が入っている。必要な分を持っていこう。			木箱の中に、材料が入っている。必要な分を持っていこう。			古き時代との対話							
材料はもう必要ない。ルルシャに「黄金の接合部品」を渡そう。			材料はもう必要ない。ルルシャに「黄金の接合部品」を渡そう。			古き時代との対話							
どうか「黄金の接合部品」の準備をお願いね。			どうか「黄金の接合部品」の準備をお願いね。			古き時代との対話							
あなたが素晴らしい腕前をふるってくれたおかげで、記憶媒体らしき黒い石を包んでいた接合部品も、しっかりと組み立てられたわ。			あなたが素晴らしい腕前をふるってくれたおかげで、記憶媒体らしき黒い石を包んでいた接合部品も、しっかりと組み立てられたわ。			古き時代との対話							
あとはこの子の内部に部品を組み込んで、心核との接続を確認したら、起動を試して……			あとはこの子の内部に部品を組み込んで、心核との接続を確認したら、起動を試して……			古き時代との対話							
ごっ、ごめんなさい～～っ！！！！			ごっ、ごめんなさい～～っ！！！！			古き時代との対話							
あらあら、ボリックじゃないの。留守にしていたことなら、気にしなくていいのよ？それに、ちょうどこの子の修復がもうすぐ終わりそうで……			あらあら、ボリックじゃないの。留守にしていたことなら、気にしなくていいのよ？それに、ちょうどこの子の修復がもうすぐ終わりそうで……			古き時代との対話							
ちっ、違うんです！いやっ、不在にしていたことも、申し訳ないと思っているんですけど～……！			ちっ、違うんです！いやっ、不在にしていたことも、申し訳ないと思っているんですけど～……！			古き時代との対話							
俺……ナモノ教授が提出した査問会開催の動議に、署名を……してしまって……。			俺……ナモノ教授が提出した査問会開催の動議に、署名を……してしまって……。			古き時代との対話							
俺は、ルルシャ教授に晩節を汚してほしくなかったんです～！チャタ号がガラクタだった場合、教授の輝かしい研究人生に、自分で泥を塗ることになっちゃうんじゃないかって……！			俺は、ルルシャ教授に晩節を汚してほしくなかったんです～！チャタ号がガラクタだった場合、教授の輝かしい研究人生に、自分で泥を塗ることになっちゃうんじゃないかって……！			古き時代との対話							
ううっ、でも……でも、俺が署名をしたら、査問会開催に必要な規定数が、そろってしまったんです……。			ううっ、でも……でも、俺が署名をしたら、査問会開催に必要な規定数が、そろってしまったんです……。			古き時代との対話							
これで修復作業も打ち切りと思ったら、やっとわかったんです。本当は俺も、チャタ号の謎を解き明かしたかったんだって。いまさら後悔したって、遅いのに……。			これで修復作業も打ち切りと思ったら、やっとわかったんです。本当は俺も、チャタ号の謎を解き明かしたかったんだって。いまさら後悔したって、遅いのに……。			古き時代との対話							
その様子だと、事情は聞いたようだな！			その様子だと、事情は聞いたようだな！			古き時代との対話							
ナッ、ナモノ教授……。			ナッ、ナモノ教授……。			古き時代との対話							
今からすぐに査問会は開かれる。潔く公開講堂まで来ることだ。			今からすぐに査問会は開かれる。潔く公開講堂まで来ることだ。			古き時代との対話							
この無駄な修復活動に手を貸していた助手と、そこの職人もな。			この無駄な修復活動に手を貸していた助手と、そこの職人もな。			古き時代との対話							
あらあら、まあまあ……。ナモノ教授ったら、せっかちねぇ。			あらあら、まあまあ……。ナモノ教授ったら、せっかちねぇ。			古き時代との対話							
あなたは本当に優しい子ね、ボリック。そんな素晴らしい助手に、お願いしたいことがあるの。			あなたは本当に優しい子ね、ボリック。そんな素晴らしい助手に、お願いしたいことがあるの。			古き時代との対話							
私は、この最後の部品を組み立ててしまいたいのよ。それさえ終われば、チャタ号について結論が出たも同然だもの。だから、先に公開講堂へ向かって、時間を稼いでくれるかしら？			私は、この最後の部品を組み立ててしまいたいのよ。それさえ終われば、チャタ号について結論が出たも同然だもの。だから、先に公開講堂へ向かって、時間を稼いでくれるかしら？			古き時代との対話							
大丈夫、この子はきっと動いてくれるわ。だから、あなたも公開講堂へ向かって、「ナモノ・タヤモノ」教授のところで待っていてちょうだい。			大丈夫、この子はきっと動いてくれるわ。だから、あなたも公開講堂へ向かって、「ナモノ・タヤモノ」教授のところで待っていてちょうだい。			古き時代との対話							
大丈夫、この子はきっと動いてくれるわ。だから、あなたも公開講堂へ向かって、「ナモノ・タヤモノ」教授のところで待っていてちょうだい。			大丈夫、この子はきっと動いてくれるわ。だから、あなたも公開講堂へ向かって、「ナモノ・タヤモノ」教授のところで待っていてちょうだい。			古き時代との対話							
あ、あの！　ナモノ教授！！　えーっと、その……！！			あ、あの！　ナモノ教授！！　えーっと、その……！！			古き時代との対話							
はぁ……。ルルシャ教授の姿が、見当たらないようだが、まさか逃げ出したなんて言い出さないだろうな……？			はぁ……。ルルシャ教授の姿が、見当たらないようだが、まさか逃げ出したなんて言い出さないだろうな……？			古き時代との対話							
ルルシャ教授は、歳も歳ですので歩くのが遅くって……。それよりも、ナモノ教授、お茶でも一杯いかがですか？あ～、なんだったらラストスタンドで休憩でも……！			ルルシャ教授は、歳も歳ですので歩くのが遅くって……。それよりも、ナモノ教授、お茶でも一杯いかがですか？あ～、なんだったらラストスタンドで休憩でも……！			古き時代との対話							
やれやれ、今更、署名した罪悪感でも湧いてきたのか？心配せんでも、お前のことは我が研究室で面倒を見てやる。下手な時間稼ぎなどやめておけ。			やれやれ、今更、署名した罪悪感でも湧いてきたのか？心配せんでも、お前のことは我が研究室で面倒を見てやる。下手な時間稼ぎなどやめておけ。			古き時代との対話							
いずれにせよ、学長たちも直に集まる。本人不在ということは、弁明するつもりがないということ。査問会は問題なく進むだろう……そら、講堂内へ移動するぞ。			いずれにせよ、学長たちも直に集まる。本人不在ということは、弁明するつもりがないということ。査問会は問題なく進むだろう……そら、講堂内へ移動するぞ。			古き時代との対話							
ルルシャ教授のことは、研究者として尊敬しておる。しかし、こうして署名が集まってしまった以上は、査問会を開催し、あなたの進退を問わねばならなくての。			ルルシャ教授のことは、研究者として尊敬しておる。しかし、こうして署名が集まってしまった以上は、査問会を開催し、あなたの進退を問わねばならなくての。			古き時代との対話							
さて……ナモノ教授の告発によると、あなたは、周囲の声に耳を貸さず、多額の研究費を投じ、贋物の疑いがある遺物の修復を続けているとか……。			さて……ナモノ教授の告発によると、あなたは、周囲の声に耳を貸さず、多額の研究費を投じ、贋物の疑いがある遺物の修復を続けているとか……。			古き時代との対話							
まさしく浪費であります！ルルシャ教授は、件の遺物を魔法人形だと考えているようですが、動く気配すらないのですよ。			まさしく浪費であります！ルルシャ教授は、件の遺物を魔法人形だと考えているようですが、動く気配すらないのですよ。			古き時代との対話							
しかも、遺物を発見したとされるグリーナーは、過去に贋作を持ち込んだ前科がある……。そうだったね、ボリック君？			しかも、遺物を発見したとされるグリーナーは、過去に贋作を持ち込んだ前科がある……。そうだったね、ボリック君？			古き時代との対話							
まあまあ、そう言わないで。グリーナーさんだって、間違うことくらいあるわ。……それに、あの魔法人形は、とってもできる子なのよ。			まあまあ、そう言わないで。グリーナーさんだって、間違うことくらいあるわ。……それに、あの魔法人形は、とってもできる子なのよ。			古き時代との対話							
ほら、こっちにいらっしゃい。			ほら、こっちにいらっしゃい。			古き時代との対話							
う、動いた……！？			う、動いた……！？			古き時代との対話							
だ、だからどうだというのです……？そこらの安物の魔法人形だって、歩きもすればお辞儀もする。大方、そこの職人に、カネを積んで改造させたのでしょう……！			だ、だからどうだというのです……？そこらの安物の魔法人形だって、歩きもすればお辞儀もする。大方、そこの職人に、カネを積んで改造させたのでしょう……！			古き時代との対話							
念の為に聞くが……おぬしが改造を施したわけではないのじゃな？			念の為に聞くが……おぬしが改造を施したわけではないのじゃな？			古き時代との対話							
何と言う？			何と言う？			古き時代との対話							
修復のための部品を製作しただけだ			修復のための部品を製作しただけだ			古き時代との対話							
改造などしていない……！			改造などしていない……！			古き時代との対話							
そのとおりよ。それにね、優秀な職人である彼女彼なら、改造もできるでしょうけれど、こんな芸当を仕込むことはできないはずよ……。			そのとおりよ。それにね、優秀な職人である彼女彼なら、改造もできるでしょうけれど、こんな芸当を仕込むことはできないはずよ……。			古き時代との対話							
その本は、前にナモノ教授から渡された……。なぜ、いまそれを……？			その本は、前にナモノ教授から渡された……。なぜ、いまそれを……？			古き時代との対話							
この子が前に動いたとき、意味不明な音をたてていたでしょう。その音節が、この本に記されていた未知言語の文字列と、一致していることに気づいたのよ。			この子が前に動いたとき、意味不明な音をたてていたでしょう。その音節が、この本に記されていた未知言語の文字列と、一致していることに気づいたのよ。			古き時代との対話							
ねぇ、あなた……ここの一文、読めるのよね？私たちにわかる言語へ、翻訳してほしいの。			ねぇ、あなた……ここの一文、読めるのよね？私たちにわかる言語へ、翻訳してほしいの。			古き時代との対話							
カタカタカタ……地の底に眠れる蛇は、古き鱗を捨てされり……			カタカタカタ……地の底に眠れる蛇は、古き鱗を捨てされり……			古き時代との対話							
地脈を蛇に喩え、それを制御する術式を説明しているのか。碑文とともに刻まれていた一連の図像とも、完全に描写が一致している……。			地脈を蛇に喩え、それを制御する術式を説明しているのか。碑文とともに刻まれていた一連の図像とも、完全に描写が一致している……。			古き時代との対話							
じゃ、じゃあ、この遺物は本当に……			じゃ、じゃあ、この遺物は本当に……			古き時代との対話							
ああ、翻訳機の一種と見て間違いない。ルルシャ教授は見る目を失ったものと思っていたが、どうやらそれは、私のほうだったようだ。			ああ、翻訳機の一種と見て間違いない。ルルシャ教授は見る目を失ったものと思っていたが、どうやらそれは、私のほうだったようだ。			古き時代との対話							
自分の研究に価値があると信じるあまり、自分以外の研究者が、心血を注いでいた研究を、よく調べもせずに、無価値であると断じてしまっていた……。			自分の研究に価値があると信じるあまり、自分以外の研究者が、心血を注いでいた研究を、よく調べもせずに、無価値であると断じてしまっていた……。			古き時代との対話							
これを傲慢と言わず、なんと言おう？それが何か知りたいという、学問の本質たる好奇心においては、私も、ルルシャ教授も同じだったというのに……！			これを傲慢と言わず、なんと言おう？それが何か知りたいという、学問の本質たる好奇心においては、私も、ルルシャ教授も同じだったというのに……！			古き時代との対話							
ルルシャ教授……本当に、申し訳ないことをした。こんな私こそ、教授職から退くべきだ……。			ルルシャ教授……本当に、申し訳ないことをした。こんな私こそ、教授職から退くべきだ……。			古き時代との対話							
あらあら、それは困ってしまうわ。この子の素晴らしさに気づくことができたのは、ナモノ教授の言語研究への情熱があればこそなのよ。			あらあら、それは困ってしまうわ。この子の素晴らしさに気づくことができたのは、ナモノ教授の言語研究への情熱があればこそなのよ。			古き時代との対話							
ふむ……では、此度の件は不問とし、査問会は終いとしよう。そのうえで、あなたがたには共同での研究を提案したい。その翻訳機で調べるべき碑文は、多かろう？			ふむ……では、此度の件は不問とし、査問会は終いとしよう。そのうえで、あなたがたには共同での研究を提案したい。その翻訳機で調べるべき碑文は、多かろう？			古き時代との対話							
あら、それは楽しそうなお話ね。どんな発見があるのか、年甲斐もなくウキウキしてしまうわ。			あら、それは楽しそうなお話ね。どんな発見があるのか、年甲斐もなくウキウキしてしまうわ。			古き時代との対話							
ルルシャ教授の修復作業に協力してくれたこと、本当に感謝する。我々は危うく、素晴らしい研究者とその成果を、無価値と断じてしまうところじゃった。			ルルシャ教授の修復作業に協力してくれたこと、本当に感謝する。我々は危うく、素晴らしい研究者とその成果を、無価値と断じてしまうところじゃった。			古き時代との対話							
ふふ……それじゃあ、ひとまず工匠殿へ戻りましょうか。あなたにはちゃんと、お礼をしたいものね。			ふふ……それじゃあ、ひとまず工匠殿へ戻りましょうか。あなたにはちゃんと、お礼をしたいものね。			古き時代との対話							
よ……よかった～～……！！不問になって安心したら、泣けてきちゃって……。			よ……よかった～～……！！不問になって安心したら、泣けてきちゃって……。			古き時代との対話							
君にも、悪いことをしてしまったようだ……。だがこれで、あの碑文が読めるようになったのか。内容を知りたいが、すぐに飛びつくのも気が引ける……。			君にも、悪いことをしてしまったようだ……。だがこれで、あの碑文が読めるようになったのか。内容を知りたいが、すぐに飛びつくのも気が引ける……。			古き時代との対話							
あの……俺が先走ったばかりに、とんだご迷惑を……。教授のためを思って、なんて言いながら、俺、教授を信じなくて……本当に、ごめんなさい！			あの……俺が先走ったばかりに、とんだご迷惑を……。教授のためを思って、なんて言いながら、俺、教授を信じなくて……本当に、ごめんなさい！			古き時代との対話							
厚かましいことを言ってお恥ずかしい限りなんですけど、まだ、教授の助手でいることを許してもらえるでしょうか……。			厚かましいことを言ってお恥ずかしい限りなんですけど、まだ、教授の助手でいることを許してもらえるでしょうか……。			古き時代との対話							
やあねえ、ボリックったら。あなたが私を案じてくれていたことぐらい、ちゃんとわかっているもの……許すも何もないわ。			やあねえ、ボリックったら。あなたが私を案じてくれていたことぐらい、ちゃんとわかっているもの……許すも何もないわ。			古き時代との対話							
あなたは、自分が思っている以上に、優秀な助手なのよ。細かな下調べに、試料集めに人材勧誘まで、しっかりサポートしてくれているもの。			あなたは、自分が思っている以上に、優秀な助手なのよ。細かな下調べに、試料集めに人材勧誘まで、しっかりサポートしてくれているもの。			古き時代との対話							
あとは自分の好奇心と勘を信じて、根気よく謎に向き合うことさえ覚えれば完璧よ。どう？　これからも私の研究に、協力してもらえるかしら？			あとは自分の好奇心と勘を信じて、根気よく謎に向き合うことさえ覚えれば完璧よ。どう？　これからも私の研究に、協力してもらえるかしら？			古き時代との対話							
ううっ、教授～～っ！！			ううっ、教授～～っ！！			古き時代との対話							
あらあら、いらっしゃいナモノ教授。もしかして、さっそく解読のお話かしら。			あらあら、いらっしゃいナモノ教授。もしかして、さっそく解読のお話かしら。			古き時代との対話							
まあ……そんなところだ。			まあ……そんなところだ。			古き時代との対話							
そこの助手に渡したのは、未知言語の研究者が編纂した学術書に過ぎない。だから、その、例の言語で書かれた碑文の写しを持ってきた。			そこの助手に渡したのは、未知言語の研究者が編纂した学術書に過ぎない。だから、その、例の言語で書かれた碑文の写しを持ってきた。			古き時代との対話							
わ、私は……はやく、ここに書かれている全容を知りたい。だから、恥を忍んで頼みたいんだが……その翻訳機でこの写しを解読したい！			わ、私は……はやく、ここに書かれている全容を知りたい。だから、恥を忍んで頼みたいんだが……その翻訳機でこの写しを解読したい！			古き時代との対話							
あらぁ、わかるわその気持ち……。研究者の原動力は、好奇心だものねぇ。			あらぁ、わかるわその気持ち……。研究者の原動力は、好奇心だものねぇ。			古き時代との対話							
それに、碑文に残された術式を解明すれば、地脈の乱れが引き起こす災害を、未然に防ぐ手立てとなるわ。解読したら、魔法学部やエーテル学部にも相談してみましょう。			それに、碑文に残された術式を解明すれば、地脈の乱れが引き起こす災害を、未然に防ぐ手立てとなるわ。解読したら、魔法学部やエーテル学部にも相談してみましょう。			古き時代との対話							
……教授たち、切り替えが早すぎませんかね～？俺はまだ、反省モードなんですけど……。少しは見習ったほうがいいのかな～。			……教授たち、切り替えが早すぎませんかね～？俺はまだ、反省モードなんですけど……。少しは見習ったほうがいいのかな～。			古き時代との対話							
Forenameさん、本当にありがとう。あなたが最後まで協力してくれたおかげで、助手が戻ってきて、同僚とも手を取り合えるようになったわ。			Forenameさん、本当にありがとう。あなたが最後まで協力してくれたおかげで、助手が戻ってきて、同僚とも手を取り合えるようになったわ。			古き時代との対話							
それに、古き人々と語り合えるようになったのは、あなたの知識と技術の賜物……これは、歴史的偉業よ。私たちは今、新たな歴史の扉を開くことができたのだもの。			それに、古き人々と語り合えるようになったのは、あなたの知識と技術の賜物……これは、歴史的偉業よ。私たちは今、新たな歴史の扉を開くことができたのだもの。			古き時代との対話							
この恩に報いるためにも、お婆ちゃん、まだまだがんばらないと。素敵な研究成果を、あなたに報告できるようにねぇ。			この恩に報いるためにも、お婆ちゃん、まだまだがんばらないと。素敵な研究成果を、あなたに報告できるようにねぇ。			古き時代との対話							
さあ、これから忙しくなるわ！ボリックも、いつまでも落ち込んでいないの。これからは私と、ナモノ教授の補佐もするのだから。			さあ、これから忙しくなるわ！ボリックも、いつまでも落ち込んでいないの。これからは私と、ナモノ教授の補佐もするのだから。			古き時代との対話							
研究に資金を投じた結果、助手を囲い込む余裕もなくなっていたところだ。せいぜいこき使ってやるから、ありがたく思えよ、ボリック君。			研究に資金を投じた結果、助手を囲い込む余裕もなくなっていたところだ。せいぜいこき使ってやるから、ありがたく思えよ、ボリック君。			古き時代との対話							
あれ……もしかして俺、すご～く働かされるんじゃ？面白そうな研究だからいいですけど～……。			あれ……もしかして俺、すご～く働かされるんじゃ？面白そうな研究だからいいですけど～……。			古き時代との対話							
考古学部の貢献ランクが上昇しました！ルルシャはあなたの事を、「古き声を呼び覚ました者」と感じているようです！			考古学部の貢献ランクが上昇しました！ルルシャはあなたの事を、「古き声を呼び覚ました者」と感じているようです！			古き時代との対話							
また、魔法大学は他にも、腕のいい職人の助けを必要としている人がいるようです。声をかけて、話を聞いてみましょう。			また、魔法大学は他にも、腕のいい職人の助けを必要としている人がいるようです。声をかけて、話を聞いてみましょう。			古き時代との対話							
また、これにて、すべての学部の取引が完了しました！そんなあなたに、魔法大学職員の「キィ・アリアポー」は、依頼したいことがあるようです。			また、これにて、すべての学部の取引が完了しました！そんなあなたに、魔法大学職員の「キィ・アリアポー」は、依頼したいことがあるようです。			古き時代との対話							
「選者殿」にいる彼女から、話を聞いてみましょう。			「選者殿」にいる彼女から、話を聞いてみましょう。			古き時代との対話							
本クエストで製作した「NQアイテム」を所持しています。このアイテムは、使用することはありません。売却もできませんので、不用でしたら破棄してください。			本クエストで製作した「NQアイテム」を所持しています。このアイテムは、使用することはありません。売却もできませんので、不用でしたら破棄してください。			古き時代との対話							
