槍術士ギルドマスター、イウェインは、冒険者の勇気を確かめようとしている。			槍術士ギルドマスター、イウェインは、冒険者の勇気を確かめようとしている。			勇気の証明							
試練の場所は、中央森林の「裸岩の丘」。知ってのとおり、魔物「アノール」の巣窟だ。			試練の場所は、中央森林の「裸岩の丘」。知ってのとおり、魔物「アノール」の巣窟だ。			勇気の丸石							
目的は、奴らの獰猛な牙と爪をかいくぐり、その山頂に置かれた「勇気の丸石」を手に入れ、ギルドに持ち帰ってくること。			目的は、奴らの獰猛な牙と爪をかいくぐり、その山頂に置かれた「勇気の丸石」を手に入れ、ギルドに持ち帰ってくること。			勇気の丸石							
頭ではわかっていても、始めはなかなか、思うように立ち振る舞えんだろう。何度でも挑み、揺れ動く心を勇気で抑えて戦ってきな。			頭ではわかっていても、始めはなかなか、思うように立ち振る舞えんだろう。何度でも挑み、揺れ動く心を勇気で抑えて戦ってきな。			勇気の丸石							
ニセの石ゲット			ニセの石ゲット			勇気の丸石							
(-？？？？-)おめでとうございます。課せられた試練を、果たせたようですね。			(-？？？？-)おめでとうございます。課せられた試練を、果たせたようですね。			勇気の丸石							
(-？？？？-)その偽物の「勇気の丸石」……あなた方「臆病者」に、実によくお似合いですよ。			(-？？？？-)その偽物の「勇気の丸石」……あなた方「臆病者」に、実によくお似合いですよ。			勇気の丸石							
私は「フールク」。以前、道場でお会いしましたね。			私は「フールク」。以前、道場でお会いしましたね。			勇気の丸石							
あなたに槍を向けた時……他の槍術士とは違う「何か」を感じました。もしかしたら、あなたは「臆病者」ではないのかもしれない。			あなたに槍を向けた時……他の槍術士とは違う「何か」を感じました。もしかしたら、あなたは「臆病者」ではないのかもしれない。			勇気の丸石							
ひとつ試させてもらいましょう。あなたに、本物の「勇気の丸石」がある場所をお教えします。			ひとつ試させてもらいましょう。あなたに、本物の「勇気の丸石」がある場所をお教えします。			勇気の丸石							
インプの巣窟「ウォーレン牢獄」。こんな場所よりも、はるかに危険に満ちる場所。本物の「勇気の丸石」は、私がそこへ移しておきました。			インプの巣窟「ウォーレン牢獄」。こんな場所よりも、はるかに危険に満ちる場所。本物の「勇気の丸石」は、私がそこへ移しておきました。			勇気の丸石							
過酷な状況であればあるほど、勇気は磨かれる。槍術士の試練は、かくあるべきです。			過酷な状況であればあるほど、勇気は磨かれる。槍術士の試練は、かくあるべきです。			勇気の丸石							
さあ、あなたが臆病者でないのなら、「ウォーレン牢獄」で「勇気の丸石」を手に入れ、槍術士ギルドへと持ち帰ってみせてください。			さあ、あなたが臆病者でないのなら、「ウォーレン牢獄」で「勇気の丸石」を手に入れ、槍術士ギルドへと持ち帰ってみせてください。			勇気の丸石							
ホンモノの「勇気の丸石」ゲット			ホンモノの「勇気の丸石」ゲット			勇気の丸石							
「勇気の丸石」は手に入ったか？			「勇気の丸石」は手に入ったか？			勇気の丸石							
よし、確かに「勇気の丸石」だ。……随分と傷だらけになってるが、何かあったのか？			よし、確かに「勇気の丸石」だ。……随分と傷だらけになってるが、何かあったのか？			勇気の丸石							
「フールク」と名乗る槍術士から勇気の丸石を取り返すため、ウォーレン牢獄へ行っただと？			「フールク」と名乗る槍術士から勇気の丸石を取り返すため、ウォーレン牢獄へ行っただと？			勇気の丸石							
……なるほどな。野郎、ただの道場破りじゃねぇってわけか。			……なるほどな。野郎、ただの道場破りじゃねぇってわけか。			勇気の丸石							
槍術士ギルドを「臆病者」呼ばわりとは、何のつもりかわからんが、舐められたものだ。			槍術士ギルドを「臆病者」呼ばわりとは、何のつもりかわからんが、舐められたものだ。			勇気の丸石							
Forename。ヤツの言葉には耳を貸すな。危険な場所でこそ「勇気」が磨かれるなどということはない。			Forename。ヤツの言葉には耳を貸すな。危険な場所でこそ「勇気」が磨かれるなどということはない。			勇気の丸石							
「勇気」の意味は、最初に教えたとおり、「ふたつの心」にほかならない。お前は、この「勇気」を磨くことに集中するんだ。			「勇気」の意味は、最初に教えたとおり、「ふたつの心」にほかならない。お前は、この「勇気」を磨くことに集中するんだ。			勇気の丸石							
今回、敵の群れをくぐりぬけたことで、お前の「勇気」は、さらなる高みへと洗練された。この戦いを、しっかりと身体に叩きこんでおけ。			今回、敵の群れをくぐりぬけたことで、お前の「勇気」は、さらなる高みへと洗練された。この戦いを、しっかりと身体に叩きこんでおけ。			勇気の丸石							
……っと、そうだ。お前に伝えなきゃならないことがあった。			……っと、そうだ。お前に伝えなきゃならないことがあった。			勇気の丸石							
Forename。これまでの試練に臆さず向かった姿勢を認め、「他のギルドで術を学ぶこと」を許可してやろう。			Forename。これまでの試練に臆さず向かった姿勢を認め、「他のギルドで術を学ぶこと」を許可してやろう。			勇気の丸石							
つってもまずは、学びたい術のギルドマスターに認めてもらうところから、だがな。			つってもまずは、学びたい術のギルドマスターに認めてもらうところから、だがな。			勇気の丸石							
グリダニアなら、弓術、幻術の他に、革細工や木工、園芸なんかも学ぶことができる。			グリダニアなら、弓術、幻術の他に、革細工や木工、園芸なんかも学ぶことができる。			勇気の丸石							
ただし……。視野を広げるのは悪くはないが、選んだ術をひとつ、極めてみせるってのも、大事なことだ。			ただし……。視野を広げるのは悪くはないが、選んだ術をひとつ、極めてみせるってのも、大事なことだ。			勇気の丸石							
まずは「槍術」をやり遂げてみろ。ほかの術を学ぶのは、それからでも遅くはねぇぜ。			まずは「槍術」をやり遂げてみろ。ほかの術を学ぶのは、それからでも遅くはねぇぜ。			勇気の丸石							
体力や技の威力は、日々の鍛錬によって向上するものだ。腕をあげたら、またギルドに顔をだしな。成長したお前に会えるのを、楽しみにしているぜ。			体力や技の威力は、日々の鍛錬によって向上するものだ。腕をあげたら、またギルドに顔をだしな。成長したお前に会えるのを、楽しみにしているぜ。			勇気の丸石							
「クラスチェンジ」が開放されました。他のクラスのギルドを訪れ、受付に話しかけると新たなクラスを習得するためのクエストが発行されます。			「クラスチェンジ」が開放されました。他のクラスのギルドを訪れ、受付に話しかけると新たなクラスを習得するためのクエストが発行されます。			勇気の丸石							
エオルゼアには、さまざまなクラスが存在します。まずは、現在学んでいる「槍術」について熟知し、そのうえで他のクラスを学ぶと、より理解が深まるでしょう。			エオルゼアには、さまざまなクラスが存在します。まずは、現在学んでいる「槍術」について熟知し、そのうえで他のクラスを学ぶと、より理解が深まるでしょう。			勇気の丸石							
敵の気配を感じた！！			敵の気配を感じた！！			勇気の丸石							
その行動は出現した敵を倒さないと実行できません			その行動は出現した敵を倒さないと実行できません			勇気の丸石							
槍術士ギルドマスター、イウェインは、冒険者に勇気を磨く試練を課そうとしている。			槍術士ギルドマスター、イウェインは、冒険者に勇気を磨く試練を課そうとしている。			勇気の丸石							
中央森林にある「裸岩の丘」に向かい、頂上の「勇気の丸石」を入手せよとのこと。「裸岩の丘」は、魔物アノールの縄張りだ。しっかり準備をして向かおう。			中央森林にある「裸岩の丘」に向かい、頂上の「勇気の丸石」を入手せよとのこと。「裸岩の丘」は、魔物アノールの縄張りだ。しっかり準備をして向かおう。			勇気の丸石							
冒険者が入手した石は、偽物にすり替えられていた。本物の「勇気の丸石」を手に入れるため、「ウォーレン牢獄」へ向かおう。			冒険者が入手した石は、偽物にすり替えられていた。本物の「勇気の丸石」を手に入れるため、「ウォーレン牢獄」へ向かおう。			勇気の丸石							
勇気の丸石を手に入れることができた。「槍術士ギルド」に戻り、「イウェイン」に報告しよう。			勇気の丸石を手に入れることができた。「槍術士ギルド」に戻り、「イウェイン」に報告しよう。			勇気の丸石							
危険の中でこそ勇気が磨かれると言う、謎の槍術士「フールク」。彼のことをイウェインに告げると、フールクの言葉を信じぬよう説かれる。ギルドで教わった「ふたつの心」を胸に、鍛錬に励もう。※槍術士のレベルが15以上になると、イウェインから次の槍術士クエストを受注することができます。			危険の中でこそ勇気が磨かれると言う、謎の槍術士「フールク」。彼のことをイウェインに告げると、フールクの言葉を信じぬよう説かれる。ギルドで教わった「ふたつの心」を胸に、鍛錬に励もう。※槍術士のレベルが15以上になると、イウェインから次の槍術士クエストを受注することができます。			勇気の丸石							
裸岩の丘で勇気の丸石を入手			裸岩の丘で勇気の丸石を入手			勇気の丸石							
ウォーレン牢獄で勇気の丸石を入手			ウォーレン牢獄で勇気の丸石を入手			勇気の丸石							
槍術士ギルドのイウェインに勇気の丸石を渡す			槍術士ギルドのイウェインに勇気の丸石を渡す			勇気の丸石							
よ、待ってたぜ。一段と腕を上げてきたようだな。			よ、待ってたぜ。一段と腕を上げてきたようだな。			勇気の丸石							
前回、お前は「ふたつの心」を学んだ。それは「乱されぬ心」と「動じぬ心」……これらこそ、槍の真価を引き出す「勇気」だと教えたな。			前回、お前は「ふたつの心」を学んだ。それは「乱されぬ心」と「動じぬ心」……これらこそ、槍の真価を引き出す「勇気」だと教えたな。			勇気の丸石							
これからは、お前が学んだその「勇気」を、実戦を通して磨きあげていくんだ。			これからは、お前が学んだその「勇気」を、実戦を通して磨きあげていくんだ。			勇気の丸石							
戦う準備はできているな？それじゃ、早速、試練について説明しよう。			戦う準備はできているな？それじゃ、早速、試練について説明しよう。			勇気の丸石							
今回、お前を待ち受けているのは、「敵の群れをかいくぐる」試練だ。			今回、お前を待ち受けているのは、「敵の群れをかいくぐる」試練だ。			勇気の丸石							
敵の群れの中を進むということは、いつ、どこから襲われるか分からぬということ。さらに、敵に取り囲まれる危険があるということだ。			敵の群れの中を進むということは、いつ、どこから襲われるか分からぬということ。さらに、敵に取り囲まれる危険があるということだ。			勇気の丸石							
突然、敵に襲われた時、果たして「動じずに」いられるか？四方を囲まれた時、心を「乱されずに」いられるか？			突然、敵に襲われた時、果たして「動じずに」いられるか？四方を囲まれた時、心を「乱されずに」いられるか？			勇気の丸石							
この試練を乗り越えることで、お前の「勇気」はいっそう磨かれるだろう。			この試練を乗り越えることで、お前の「勇気」はいっそう磨かれるだろう。			勇気の丸石							
試練の場所は、中央森林の「裸岩の丘」。知ってのとおり、魔物「アノール」の巣窟だ。			試練の場所は、中央森林の「裸岩の丘」。知ってのとおり、魔物「アノール」の巣窟だ。			勇気の丸石							
目的は、奴らの獰猛な牙と爪をかいくぐり、その山頂に置かれた「勇気の丸石」を手に入れ、ギルドに持ち帰ってくること。			目的は、奴らの獰猛な牙と爪をかいくぐり、その山頂に置かれた「勇気の丸石」を手に入れ、ギルドに持ち帰ってくること。			勇気の丸石							
頭ではわかっていても、始めはなかなか、思うように立ち振る舞えんだろう。何度でも挑み、揺れ動く心を勇気で抑えて戦ってきな。			頭ではわかっていても、始めはなかなか、思うように立ち振る舞えんだろう。何度でも挑み、揺れ動く心を勇気で抑えて戦ってきな。			勇気の丸石							
(-？？？？-)おめでとうございます。課せられた試練を、果たせたようですね。			(-？？？？-)おめでとうございます。課せられた試練を、果たせたようですね。			勇気の丸石							
(-？？？？-)その偽物の「勇気の丸石」……あなた方「臆病者」に、実によくお似合いですよ。			(-？？？？-)その偽物の「勇気の丸石」……あなた方「臆病者」に、実によくお似合いですよ。			勇気の丸石							
私は「フールク」。以前、道場でお会いしましたね。			私は「フールク」。以前、道場でお会いしましたね。			勇気の丸石							
あなたに槍を向けた時……他の槍術士とは違う「何か」を感じました。もしかしたら、あなたは「臆病者」ではないのかもしれない。			あなたに槍を向けた時……他の槍術士とは違う「何か」を感じました。もしかしたら、あなたは「臆病者」ではないのかもしれない。			勇気の丸石							
ひとつ試させてもらいましょう。あなたに、本物の「勇気の丸石」がある場所をお教えします。			ひとつ試させてもらいましょう。あなたに、本物の「勇気の丸石」がある場所をお教えします。			勇気の丸石							
インプの巣窟「ウォーレン牢獄」。こんな場所よりも、はるかに危険に満ちる場所。本物の「勇気の丸石」は、私がそこへ移しておきました。			インプの巣窟「ウォーレン牢獄」。こんな場所よりも、はるかに危険に満ちる場所。本物の「勇気の丸石」は、私がそこへ移しておきました。			勇気の丸石							
過酷な状況であればあるほど、勇気は磨かれる。槍術士の試練は、かくあるべきです。			過酷な状況であればあるほど、勇気は磨かれる。槍術士の試練は、かくあるべきです。			勇気の丸石							
さあ、あなたが臆病者でないのなら、「ウォーレン牢獄」で「勇気の丸石」を手に入れ、槍術士ギルドへと持ち帰ってみせてください。			さあ、あなたが臆病者でないのなら、「ウォーレン牢獄」で「勇気の丸石」を手に入れ、槍術士ギルドへと持ち帰ってみせてください。			勇気の丸石							
「勇気の丸石」は手に入ったか？			「勇気の丸石」は手に入ったか？			勇気の丸石							
よし、確かに「勇気の丸石」だ。……随分と傷だらけになってるが、何かあったのか？			よし、確かに「勇気の丸石」だ。……随分と傷だらけになってるが、何かあったのか？			勇気の丸石							
「フールク」と名乗る槍術士から勇気の丸石を取り返すため、ウォーレン牢獄へ行っただと？			「フールク」と名乗る槍術士から勇気の丸石を取り返すため、ウォーレン牢獄へ行っただと？			勇気の丸石							
……なるほどな。野郎、ただの道場破りじゃねぇってわけか。			……なるほどな。野郎、ただの道場破りじゃねぇってわけか。			勇気の丸石							
槍術士ギルドを「臆病者」呼ばわりとは、何のつもりかわからんが、舐められたものだ。			槍術士ギルドを「臆病者」呼ばわりとは、何のつもりかわからんが、舐められたものだ。			勇気の丸石							
Forename。ヤツの言葉には耳を貸すな。危険な場所でこそ「勇気」が磨かれるなどということはない。			Forename。ヤツの言葉には耳を貸すな。危険な場所でこそ「勇気」が磨かれるなどということはない。			勇気の丸石							
「勇気」の意味は、最初に教えたとおり、「ふたつの心」にほかならない。お前は、この「勇気」を磨くことに集中するんだ。			「勇気」の意味は、最初に教えたとおり、「ふたつの心」にほかならない。お前は、この「勇気」を磨くことに集中するんだ。			勇気の丸石							
今回、敵の群れをくぐりぬけたことで、お前の「勇気」は、さらなる高みへと洗練された。この戦いを、しっかりと身体に叩きこんでおけ。			今回、敵の群れをくぐりぬけたことで、お前の「勇気」は、さらなる高みへと洗練された。この戦いを、しっかりと身体に叩きこんでおけ。			勇気の丸石							
敵の気配を感じた！！			敵の気配を感じた！！			勇気の丸石							
その行動は出現した敵を倒さないと実行できません			その行動は出現した敵を倒さないと実行できません			勇気の丸石							
槍術士ギルドの受付、ジリアンは、ギルドへの入門手続きをするにあたって、冒険者の心を確かめようとしているようだ。			槍術士ギルドの受付、ジリアンは、ギルドへの入門手続きをするにあたって、冒険者の心を確かめようとしているようだ。			道拓く槍術士							
槍術士ギルドの受付から、ギルドマスター「イウェイン」に入門の意思を伝えるよう言われた。槍術士ギルドの稽古場にいる「イウェイン」に声をかけよう。			槍術士ギルドの受付から、ギルドマスター「イウェイン」に入門の意思を伝えるよう言われた。槍術士ギルドの稽古場にいる「イウェイン」に声をかけよう。			道拓く槍術士							
イウェインからギルドの一員として槍術を学ぶことを認められた冒険者。槍に慣れるために「スクウィレル」「レディバグ」「フォレストファンガー」を3体ずつ討伐してこよう。			イウェインからギルドの一員として槍術を学ぶことを認められた冒険者。槍に慣れるために「スクウィレル」「レディバグ」「フォレストファンガー」を3体ずつ討伐してこよう。			道拓く槍術士							
指定された魔物の討伐を終えた。「槍術士ギルド」で待つ「イウェイン」に報告しよう。			指定された魔物の討伐を終えた。「槍術士ギルド」で待つ「イウェイン」に報告しよう。			道拓く槍術士							
槍術士に求められるのは、その攻撃で、敵をどれだけ突き崩せるかということ。着実な強さを手に入れるためには、たゆまぬ鍛錬と腹に据えた覚悟が必要だという。イウェインの言葉を胸に、槍術を身体に刻み込むため、一心不乱に槍を振るってこよう。※槍術士のレベルが5以上になると、イウェインから次の槍術士クエストを受注することができます。			槍術士に求められるのは、その攻撃で、敵をどれだけ突き崩せるかということ。着実な強さを手に入れるためには、たゆまぬ鍛錬と腹に据えた覚悟が必要だという。イウェインの言葉を胸に、槍術を身体に刻み込むため、一心不乱に槍を振るってこよう。※槍術士のレベルが5以上になると、イウェインから次の槍術士クエストを受注することができます。			道拓く槍術士							
イウェインと話す			イウェインと話す			道拓く槍術士							
槍術でスクウィレルを討伐			槍術でスクウィレルを討伐			道拓く槍術士							
槍術でレディバグを討伐			槍術でレディバグを討伐			道拓く槍術士							
槍術でフォレストファンガーを討伐			槍術でフォレストファンガーを討伐			道拓く槍術士							
槍術士ギルドのイウェインと話す			槍術士ギルドのイウェインと話す			道拓く槍術士							
私に声をかけたということは、「槍術士ギルド」への入門を決意されたということですね？			私に声をかけたということは、「槍術士ギルド」への入門を決意されたということですね？			道拓く槍術士							
なるほど……我がギルドへの入門は一大決心が必要だと。ええ、構いません、大いにお悩みください。			なるほど……我がギルドへの入門は一大決心が必要だと。ええ、構いません、大いにお悩みください。			道拓く槍術士							
ギルドの門戸はいつでも開いております故。お心が決まりましたら、声をおかけください。			ギルドの門戸はいつでも開いております故。お心が決まりましたら、声をおかけください。			道拓く槍術士							
そう仰ると思っていました。では早速、ギルドマスター「イウェイン」様をご紹介しましょう。			そう仰ると思っていました。では早速、ギルドマスター「イウェイン」様をご紹介しましょう。			道拓く槍術士							
イウェイン様は、槍術士ギルドを取りまとめている方。彼に、あなた自ら入門の意思をお伝えください。			イウェイン様は、槍術士ギルドを取りまとめている方。彼に、あなた自ら入門の意思をお伝えください。			道拓く槍術士							
奥の稽古場へ、どうぞ、お進みください。			奥の稽古場へ、どうぞ、お進みください。			道拓く槍術士							
よう、冒険者。槍術士ギルドへの入門希望者だな。			よう、冒険者。槍術士ギルドへの入門希望者だな。			道拓く槍術士							
ふん……槍について少しはかじっているみてぇだが、そんなひょろっちいナリじゃ、まだ鍛錬が足りねえな。			ふん……槍について少しはかじっているみてぇだが、そんなひょろっちいナリじゃ、まだ鍛錬が足りねえな。			道拓く槍術士							
槍術を学びに来たんだろう？なら、ギルドマスターのこの俺が、あらためて槍術と、このギルドの信念について説明してやろう。			槍術を学びに来たんだろう？なら、ギルドマスターのこの俺が、あらためて槍術と、このギルドの信念について説明してやろう。			道拓く槍術士							
戦い方は数あれど、槍術ほど攻めを意識した技はない。槍術は、どんな相手であろうと、常に安定して攻め、着実に追い込むことができる。			戦い方は数あれど、槍術ほど攻めを意識した技はない。槍術は、どんな相手であろうと、常に安定して攻め、着実に追い込むことができる。			道拓く槍術士							
熟練した槍術士となれば、流れるような槍さばきで技を繋げ、強烈な連撃を繰り出すことができるだろう。			熟練した槍術士となれば、流れるような槍さばきで技を繋げ、強烈な連撃を繰り出すことができるだろう。			道拓く槍術士							
その堅実さを維持するため、槍術士は鎧選びにも慎重だ。頑丈さと動きやすさを兼ね備えた、革鎧や鎖帷子を好むのも、攻めを貫く姿勢の表れといえる。			その堅実さを維持するため、槍術士は鎧選びにも慎重だ。頑丈さと動きやすさを兼ね備えた、革鎧や鎖帷子を好むのも、攻めを貫く姿勢の表れといえる。			道拓く槍術士							
槍術士に求められるのは、いたって単純明快。その攻撃で、敵をどれだけ突き崩せるかってことだ。			槍術士に求められるのは、いたって単純明快。その攻撃で、敵をどれだけ突き崩せるかってことだ。			道拓く槍術士							
良くも悪くも、「槍」は扱いやすい武器だ。振り回すだけでそれなりの戦力になるため、練度の低い兵にも扱いやすく、エオルゼア各所で主戦力として用いられてきた。			良くも悪くも、「槍」は扱いやすい武器だ。振り回すだけでそれなりの戦力になるため、練度の低い兵にも扱いやすく、エオルゼア各所で主戦力として用いられてきた。			道拓く槍術士							
だが、付け焼刃の槍術しか知らん兵は、不利な状況になると、たちまち恐れおののき、逃げ出しちまう。			だが、付け焼刃の槍術しか知らん兵は、不利な状況になると、たちまち恐れおののき、逃げ出しちまう。			道拓く槍術士							
槍術の真価を発揮するためには「勇気」が必要だ。ゆえに、初代ギルドマスターは、槍術士ギルドを「勇気」を教えるギルドと定めた。			槍術の真価を発揮するためには「勇気」が必要だ。ゆえに、初代ギルドマスターは、槍術士ギルドを「勇気」を教えるギルドと定めた。			道拓く槍術士							
このギルドで実戦を通じて「勇気」を学びとった時、お前は、真の槍術の力を引き出せるようになるだろう。			このギルドで実戦を通じて「勇気」を学びとった時、お前は、真の槍術の力を引き出せるようになるだろう。			道拓く槍術士							
どうだ、お前は。このギルドで槍術を極める覚悟はあるか？			どうだ、お前は。このギルドで槍術を極める覚悟はあるか？			道拓く槍術士							
覚悟がある？			覚悟がある？			道拓く槍術士							
はい			はい			道拓く槍術士							
いいえ			いいえ			道拓く槍術士							
ハハハ！　素直でいいぜ。自分の腹をよくわかっているじゃねぇか。			ハハハ！　素直でいいぜ。自分の腹をよくわかっているじゃねぇか。			道拓く槍術士							
勇気を学び、槍術を極める覚悟ができたなら、いつでも声をかけな。待ってるぜ。			勇気を学び、槍術を極める覚悟ができたなら、いつでも声をかけな。待ってるぜ。			道拓く槍術士							
よく言った、歓迎するぜ！槍術士ギルドへ、お前の入門を認めよう。			よく言った、歓迎するぜ！槍術士ギルドへ、お前の入門を認めよう。			道拓く槍術士							
あらためて……槍術士ギルドマスター、イウェインだ。よろしくな。			あらためて……槍術士ギルドマスター、イウェインだ。よろしくな。			道拓く槍術士							
早速だが、めでたくギルドの一員となったお前に、ひとつ目の試練を与える。			早速だが、めでたくギルドの一員となったお前に、ひとつ目の試練を与える。			道拓く槍術士							
まずは槍に慣れることだ。槍の間合いや重さを身体に叩きこむために、ひたすらに、がむしゃらに、槍をぶん回してこい。			まずは槍に慣れることだ。槍の間合いや重さを身体に叩きこむために、ひたすらに、がむしゃらに、槍をぶん回してこい。			道拓く槍術士							
都市を出てすぐのところにいる魔物……「スクウィレル」、「レディバグ」、「フォレストファンガー」あたりが丁度いいだろう。			都市を出てすぐのところにいる魔物……「スクウィレル」、「レディバグ」、「フォレストファンガー」あたりが丁度いいだろう。			道拓く槍術士							
それぞれ3体ずつも倒せば十分だ。槍術士の戦い方ってもんを、その身で学んできな。			それぞれ3体ずつも倒せば十分だ。槍術士の戦い方ってもんを、その身で学んできな。			道拓く槍術士							
よし、戻ったな。どうだ、槍術のコツが少しはつかめたか？			よし、戻ったな。どうだ、槍術のコツが少しはつかめたか？			道拓く槍術士							
敵と戦い経験を積めば、技の威力は上がるだろう。だが、最初に言ったように、槍術の真の力を引き出すにはこのギルドで「勇気」を知る必要がある。			敵と戦い経験を積めば、技の威力は上がるだろう。だが、最初に言ったように、槍術の真の力を引き出すにはこのギルドで「勇気」を知る必要がある。			道拓く槍術士							
……わかってるって顔だな。ふん、なかなか見所がありそうじゃねぇか。			……わかってるって顔だな。ふん、なかなか見所がありそうじゃねぇか。			道拓く槍術士							
この「討伐手帳」をくれてやる。こいつには、槍術の鍛錬に適した相手が記されているんだ。			この「討伐手帳」をくれてやる。こいつには、槍術の鍛錬に適した相手が記されているんだ。			道拓く槍術士							
鍛錬の方法は人それぞれだろうが、もし迷うことがあったら、参考にするといい。			鍛錬の方法は人それぞれだろうが、もし迷うことがあったら、参考にするといい。			道拓く槍術士							
まずはその調子で、槍術を身体に教えこめ。十分に腕を上げたら、いよいよ次は「勇気」を教えてやる。			まずはその調子で、槍術を身体に教えこめ。十分に腕を上げたら、いよいよ次は「勇気」を教えてやる。			道拓く槍術士							
……「槍術士」Forename Surname。いっそう強くなったお前に会える時を楽しみに待ってるぜ。			……「槍術士」Forename Surname。いっそう強くなったお前に会える時を楽しみに待ってるぜ。			道拓く槍術士							
「槍術士」のクラスクエストが開始されました。次のクエストは「レベル5」以上で受注可能になります。レベルを上げ、再度ギルドを訪れてください。			「槍術士」のクラスクエストが開始されました。次のクエストは「レベル5」以上で受注可能になります。レベルを上げ、再度ギルドを訪れてください。			道拓く槍術士							
槍術士ギルドマスター、イウェインは、冒険者に「勇気」の基礎を知るための試練を課そうとしている。			槍術士ギルドマスター、イウェインは、冒険者に「勇気」の基礎を知るための試練を課そうとしている。			不敵なる矛先							
イウェインから、中央森林の川沿いに現れる「リバーバンク・ヤーゾン」の討伐を課された。2箇所の「ヤーゾンの巣」に「不快な臭いの虫ダンゴ」を使ってリバーバンク・ヤーゾンをおびき出し、討伐しよう。			イウェインから、中央森林の川沿いに現れる「リバーバンク・ヤーゾン」の討伐を課された。2箇所の「ヤーゾンの巣」に「不快な臭いの虫ダンゴ」を使ってリバーバンク・ヤーゾンをおびき出し、討伐しよう。			不敵なる矛先							
リバーバンク・ヤーゾンの討伐を終えた。「槍術士ギルド」に戻り、「イウェイン」に報告しよう。			リバーバンク・ヤーゾンの討伐を終えた。「槍術士ギルド」に戻り、「イウェイン」に報告しよう。			不敵なる矛先							
再び、中央森林のウォーレン牢獄付近にて、魔物の討伐を課せられた。3箇所の「崩れた石塔」を調べ、現れた魔物を討伐しよう。			再び、中央森林のウォーレン牢獄付近にて、魔物の討伐を課せられた。3箇所の「崩れた石塔」を調べ、現れた魔物を討伐しよう。			不敵なる矛先							
魔物の討伐を終えた。「槍術士ギルド」に戻り、受付の「ジリアン」に報告しよう。			魔物の討伐を終えた。「槍術士ギルド」に戻り、受付の「ジリアン」に報告しよう。			不敵なる矛先							
ギルドを訪れていた槍術士は、何者だったのだろうか。「槍術士ギルド」の「イウェイン」に尋ねてみよう。			ギルドを訪れていた槍術士は、何者だったのだろうか。「槍術士ギルド」の「イウェイン」に尋ねてみよう。			不敵なる矛先							
「勇気」を試すため、道場破りに来る槍術士は珍しくはないと言うイウェイン。ギルドに来ていた謎の槍術士のことは気にせずに、鍛錬に励めとのこと。今回学んだ「勇気」の意味をよく噛み締めながら、腕を磨いてこよう。※槍術士のレベルが10以上になると、イウェインから次の槍術士クエストを受注することができます。			「勇気」を試すため、道場破りに来る槍術士は珍しくはないと言うイウェイン。ギルドに来ていた謎の槍術士のことは気にせずに、鍛錬に励めとのこと。今回学んだ「勇気」の意味をよく噛み締めながら、腕を磨いてこよう。※槍術士のレベルが10以上になると、イウェインから次の槍術士クエストを受注することができます。			不敵なる矛先							
中央森林のヤーゾンの巣に不快な臭いの虫ダンゴを使う			中央森林のヤーゾンの巣に不快な臭いの虫ダンゴを使う			不敵なる矛先							
槍術士ギルドのイウェインに報告			槍術士ギルドのイウェインに報告			不敵なる矛先							
中央森林の崩れた石塔を調べる			中央森林の崩れた石塔を調べる			不敵なる矛先							
槍術士ギルドの受付ジリアンに報告			槍術士ギルドの受付ジリアンに報告			不敵なる矛先							
イウェインと話す			イウェインと話す			不敵なる矛先							
よ、来たな。そろそろ「勇気」を学ぶ試練に挑戦してもいい頃合いだ。			よ、来たな。そろそろ「勇気」を学ぶ試練に挑戦してもいい頃合いだ。			不敵なる矛先							
以前、槍術の真価を引き出すには、「勇気」を鍛える必要があると教えたな？ただ闇雲に「勇気」と口にしろってことじゃねぇぞ。			以前、槍術の真価を引き出すには、「勇気」を鍛える必要があると教えたな？ただ闇雲に「勇気」と口にしろってことじゃねぇぞ。			不敵なる矛先							
「勇気」とは、ある「ふたつの心」から成る。今回は、この「ふたつの心」の意味を、試練を通してお前に叩きこんでやろう。			「勇気」とは、ある「ふたつの心」から成る。今回は、この「ふたつの心」の意味を、試練を通してお前に叩きこんでやろう。			不敵なる矛先							
ひとつ目は「乱されぬ心」だ。			ひとつ目は「乱されぬ心」だ。			不敵なる矛先							
強敵や複数の敵に囲まれた時、人は、慌て、混乱し、「心が乱れて」しまう。そんな状態では、槍術の力を引き出すことはできない。			強敵や複数の敵に囲まれた時、人は、慌て、混乱し、「心が乱れて」しまう。そんな状態では、槍術の力を引き出すことはできない。			不敵なる矛先							
お前に課すのは、そんな状況でも心を乱されることなく、正しく槍を放つための勇気を得る試練だ。			お前に課すのは、そんな状況でも心を乱されることなく、正しく槍を放つための勇気を得る試練だ。			不敵なる矛先							
「リバーバンク・ヤーゾン」という魔物が中央森林の川辺に巣喰っている。漁師を襲うこともある、好戦的な魔物だ。			「リバーバンク・ヤーゾン」という魔物が中央森林の川辺に巣喰っている。漁師を襲うこともある、好戦的な魔物だ。			不敵なる矛先							
奴らは、縄張りに入り込んだ獲物に複数匹で襲いかかり、退路を絶って仕留める習性を持つ。			奴らは、縄張りに入り込んだ獲物に複数匹で襲いかかり、退路を絶って仕留める習性を持つ。			不敵なる矛先							
